Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
British Virgin Islands,214,,219,219,244,244,279,284,272,296,282,278,304,337,356,358,346,309,330,338,351,366,386,393,408,335
Virgin Islands (U.S.),215,,454,454,373,393,422,484,546,527,520,538,563,594,571,587,574,563,572,567,619,590,615,642,667,
Vietnam,216,https://www.countryflags.io/vn/flat/64.png,"1,351,000","1,351,000","1,607,000","1,716,000","1,520,000","1,782,000","2,140,000","2,330,000","2,628,000","2,429,000","2,928,000","3,477,000","3,583,000","4,229,000","4,236,000","3,747,000","5,050,000","6,014,000","6,848,000","7,572,000","7,874,000","7,944,000","10,013,000","12,922,000"
Vanuatu,217,,44,44,46,50,52,51,58,53,49,50,61,62,68,81,"90,5","100,7","97,2",94,"108,2",110,109,90,"95,1",109
Samoa,218,,68,68,73,68,78,85,88,88,89,92,98,102,110,117,118,122,122,121,126,116,"120,4",128,134,146
Kosovo,219,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",220,,61,61,74,80,88,58,73,76,98,155,274,336,"1,061,000",948,"1,023,000","1,028,000","1,025,000",829,874,990,"1,017,500","366,7",,
South Africa,221,,"4,488,000","4,488,000","4,915,000","4,976,000","5,732,000","5,890,000","5,872,000","5,787,000","6,430,000","6,505,000","6,678,000","7,369,000","8,396,000","9,091,000","9,592,000","7,012,000","8,074,000","8,339,000","9,188,000","9,537,000","9,549,000","8,904,000","10,044,000","10,285,000"
Zambia,222,,163,163,264,341,362,404,457,492,565,413,515,669,757,897,812,710,815,920,859,915,947,932,956,"1,083,000"
Zimbabwe,223,,"1,416,000","1,416,000","1,597,000","1,336,000","2,090,000","2,250,000","1,967,000","2,217,000","2,041,000","2,256,000","1,854,000","1,559,000","2,287,000","2,506,000","1,956,000","2,017,000","2,239,000","2,423,000","1,794,000","1,833,000","1,880,000","2,057,000","2,168,000","2,423,000"
